iter	Passed	Remaining
717	7954	36362
718	7967	36358
719	7979	36351
720	7989	36333
721	8003	36338
722	8016	36333
723	8029	36333
724	8041	36325
725	8053	36320
726	8063	36302
727	8075	36296
728	8088	36290
729	8098	36277
730	8111	36272
731	8122	36261
732	8135	36258
733	8146	36248
734	8159	36245
735	8172	36241
736	8183	36231
737	8196	36227
738	8209	36225
739	8221	36218
740	8236	36222
741	8245	36202
742	8255	36190
743	8266	36178
744	8279	36174
745	8289	36156
746	8299	36144
747	8313	36141
748	8323	36126
749	8335	36121
750	8346	36109
751	8359	36107
752	8374	36112
753	8385	36098
754	8396	36090
755	8409	36085
756	8422	36082
757	8436	36084
758	8448	36075
759	8460	36068
760	8469	36049
761	8481	36040
762	8492	36031
763	8503	36017
764	8515	36009
765	8528	36004
766	8540	35999
767	8551	35985
768	8564	35985
769	8575	35972
770	8589	35974
771	8603	35973
772	8616	35969
773	8628	35964
774	8642	35965
775	8655	35961
776	8667	35954
777	8678	35942
778	8689	35929
779	8700	35918
780	8711	35907
781	8722	35895
782	8733	35883
783	8746	35877
784	8758	35869
785	8769	35857
786	8780	35846
787	8792	35841
788	8804	35830
789	8818	35833
790	8829	35820
791	8840	35807
792	8852	35799
793	8863	35789
794	8875	35781
795	8886	35770
796	8898	35762
797	8908	35747
798	8921	35740
799	8933	35733
800	8948	35736
801	8963	35743
802	8976	35739
803	8990	35740
804	9002	35732
805	9017	35732
806	9030	35729
807	9040	35714
808	9052	35707
809	9066	35705
810	9077	35692
811	9085	35672
812	9099	35669
813	9107	35648
814	9119	35638
815	9133	35637
816	9144	35625
817	9153	35607
818	9166	35602
819	9180	35600
820	9190	35587
821	9203	35581
822	9216	35578
823	9227	35567
824	9239	35558
825	9251	35548
826	9264	35545
827	9275	35534
828	9286	35522
829	9299	35518
830	9310	35506
831	9322	35496
832	9333	35485
833	9344	35472
834	9355	35460
835	9368	35457
836	9381	35452
837	9393	35443
838	9401	35422
839	9414	35414
840	9425	35404
841	9436	35392
842	9447	35382
843	9459	35373
844	9472	35367
845	9483	35355
846	9492	35336
847	9503	35323
848	9515	35314
849	9526	35304
850	9535	35286
851	9548	35280
852	9561	35274
853	9572	35263
854	9584	35255
855	9596	35245
856	9609	35242
857	9622	35237
858	9635	35231
859	9646	35219
860	9660	35220
861	9672	35213
862	9685	35205
863	9697	35199
864	9710	35194
865	9724	35191
866	9739	35193
867	9750	35181
868	9762	35172
869	9774	35165
870	9785	35154
871	9794	35136
872	9808	35131
873	9819	35119
874	9830	35110
875	9842	35102
876	9854	35092
877	9867	35088
878	9879	35078
879	9888	35059
880	9901	35054
881	9913	35045
882	9924	35034
883	9938	35032
884	9949	35020
885	9963	35017
886	9976	35013
887	9990	35012
888	10007	35019
889	10020	35014
890	10030	35001
891	10043	34993
892	10056	34988
893	10070	34988
894	10079	34968
895	10090	34957
896	10103	34951
897	10108	34917
898	10119	34905
899	10130	34892
900	10141	34883
901	10151	34865
902	10164	34859
903	10174	34844
904	10186	34835
905	10197	34824
906	10208	34812
907	10219	34801
908	10234	34803
909	10248	34799
910	10256	34778
911	10269	34771
912	10281	34764
913	10295	34762
914	10309	34758
915	10321	34749
916	10333	34743
917	10346	34734
918	10355	34717
919	10367	34709
920	10382	34711
921	10395	34702
922	10406	34690
923	10418	34683
924	10430	34675
925	10443	34668
926	10454	34657
927	10466	34648
928	10477	34636
929	10488	34623
930	10499	34609
931	10512	34604
932	10524	34596
933	10535	34584
934	10549	34582
935	10562	34576
936	10575	34570
937	10587	34563
938	10604	34568
939	10615	34555
940	10634	34569
941	10648	34568
942	10662	34565
943	10675	34559
944	10689	34556
945	10700	34545
946	10712	34536
947	10725	34529
948	10738	34523
949	10751	34518
950	10763	34509
951	10773	34493
952	10784	34481
953	10796	34471
954	10809	34465
955	10819	34451
956	10832	34444
957	10845	34437
958	10857	34429
959	10869	34419
960	10879	34406
961	10891	34396
962	10903	34385
963	10916	34379
964	10928	34371
965	10943	34372
966	10956	34366
967	10968	34354
968	10979	34344
969	10993	34341
970	11004	34328
971	11017	34321
972	11033	34326
973	11052	34336
974	11076	34366
975	11091	34363
976	11107	34367
977	11118	34355
978	11129	34341
979	11141	34335
980	11154	34326
981	11166	34318
982	11175	34299
983	11188	34292
984	11196	34272
985	11209	34264
986	11219	34250
987	11232	34243
988	11246	34241
989	11257	34227
990	11268	34214
991	11280	34206
992	11291	34193
993	11300	34175
994	11313	34168
995	11327	34163
996	11338	34151
997	11348	34137
998	11361	34130
999	11372	34117
1000	11384	34109
1001	11395	34094
1002	11409	34091
1003	11420	34079
1004	11432	34070
1005	11444	34061
1006	11456	34051
1007	11469	34044
1008	11480	34031
1009	11490	34016
1010	11501	34003
1011	11512	33991
1012	11525	33983
1013	11536	33971
1014	11549	33965
1015	11561	33955
1016	11572	33943
1017	11584	33933
1018	11595	33921
1019	11607	33912
1020	11618	33898
1021	11630	33890
1022	11644	33885
1023	11654	33870
1024	11665	33859
1025	11676	33846
1026	11685	33827
1027	11697	33816
1028	11707	33801
1029	11719	33793
1030	11730	33779
1031	11742	33770
1032	11754	33761
1033	11766	33751
1034	11780	33748
1035	11791	33736
1036	11801	33719
1037	11812	33707
1038	11824	33697
1039	11837	33690
1040	11851	33686
1041	11862	33674
1042	11873	33662
1043	11886	33655
1044	11898	33644
1045	11911	33640
1046	11923	33629
1047	11936	33622
1048	11948	33612
1049	11959	33600
1050	11970	33588
1051	11982	33576
1052	11993	33566
1053	12005	33556
1054	12018	33549
1055	12030	33539
1056	12042	33529
1057	12052	33514
1058	12065	33508
1059	12077	33497
1060	12089	33489
1061	12101	33478
1062	12113	33469
1063	12123	33454
1064	12135	33443
1065	12149	33439
1066	12162	33433
1067	12174	33422
1068	12186	33412
1069	12197	33400
1070	12207	33385
1071	12218	33373
1072	12230	33363
1073	12242	33352
1074	12253	33340
1075	12265	33331
1076	12278	33324
1077	12289	33311
1078	12300	33299
1079	12313	33290
1080	12324	33279
1081	12335	33266
1082	12350	33265
1083	12360	33250
1084	12373	33242
1085	12384	33230
1086	12397	33223
1087	12411	33217
1088	12423	33209
1089	12433	33193
1090	12444	33181
1091	12459	33179
1092	12470	33167
1093	12483	33160
1094	12494	33148
1095	12507	33140
1096	12518	33127
1097	12528	33111
1098	12541	33104
1099	12551	33090
1100	12564	33082
1101	12575	33069
1102	12588	33064
1103	12599	33049
1104	12611	33041
1105	12623	33030
1106	12636	33023
1107	12651	33022
1108	12661	33006
1109	12674	32998
1110	12686	32990
1111	12697	32977
1112	12708	32964
1113	12722	32960
1114	12735	32953
1115	12746	32940
1116	12758	32928
1117	12772	32924
1118	12788	32925
1119	12801	32918
1120	12814	32910
1121	12823	32893
1122	12835	32883
1123	12846	32871
1124	12857	32857
1125	12871	32852
1126	12885	32847
1127	12896	32835
1128	12908	32824
1129	12919	32813
1130	12930	32801
1131	12942	32789
1132	12960	32795
1133	12974	32790
1134	12987	32782
1135	12998	32771
1136	13009	32758
1137	13020	32746
1138	13033	32739
1139	13043	32724
1140	13055	32712
1141	13068	32705
1142	13079	32693
1143	13090	32681
1144	13102	32670
1145	13112	32654
1146	13123	32641
1147	13135	32632
1148	13149	32628
1149	13163	32622
1150	13176	32615
1151	13188	32604
1152	13200	32594
1153	13211	32583
1154	13224	32573
1155	13234	32559
1156	13247	32552
1157	13259	32542
1158	13268	32524
1159	13281	32517
1160	13292	32504
1161	13303	32492
1162	13318	32488
1163	13331	32481
1164	13344	32472
1165	13358	32467
1166	13371	32460
1167	13382	32447
1168	13393	32434
1169	13405	32425
1170	13417	32414
1171	13425	32396
1172	13434	32378
1173	13446	32368
1174	13457	32354
1175	13467	32340
1176	13478	32328
1177	13495	32328
1178	13507	32318
1179	13518	32307
1180	13531	32298
1181	13543	32289
1182	13556	32282
1183	13568	32270
1184	13579	32257
1185	13589	32242
1186	13600	32231
1187	13611	32218
1188	13622	32206
1189	13631	32187
1190	13642	32175
1191	13648	32152
1192	13661	32144
1193	13672	32132
1194	13686	32126
1195	13700	32121
1196	13713	32112
1197	13727	32106
1198	13738	32095
1199	13749	32082
1200	13761	32071
1201	13773	32061
1202	13785	32050
1203	13796	32038
1204	13805	32022
1205	13820	32018
1206	13830	32004
1207	13842	31993
1208	13855	31986
1209	13868	31978
1210	13880	31966
1211	13894	31962
1212	13907	31953
1213	13917	31940
1214	13928	31925
1215	13941	31918
1216	13953	31908
1217	13965	31897
1218	13975	31884
1219	13988	31875
1220	14001	31866
1221	14010	31850
1222	14022	31840
1223	14036	31834
1224	14050	31827
1225	14062	31817
1226	14075	31809
1227	14088	31801
1228	14102	31797
1229	14116	31790
1230	14125	31774
1231	14137	31762
1232	14149	31752
1233	14161	31743
1234	14171	31727
1235	14184	31720
1236	14196	31709
1237	14208	31700
1238	14221	31691
1239	14232	31678
1240	14244	31668
1241	14258	31662
1242	14270	31651
1243	14282	31641
1244	14292	31626
1245	14306	31621
1246	14317	31608
1247	14329	31599
1248	14339	31583
1249	14352	31574
1250	14365	31567
1251	14380	31563
1252	14391	31551
1253	14403	31540
1254	14416	31532
1255	14428	31522
1256	14438	31507
1257	14452	31500
1258	14464	31490
1259	14481	31490
1260	14492	31479
1261	14502	31465
1262	14515	31456
1263	14526	31444
1264	14542	31442
1265	14554	31430
1266	14566	31420
1267	14578	31411
1268	14590	31399
1269	14604	31394
1270	14620	31392
1271	14633	31383
1272	14646	31375
1273	14658	31365
1274	14668	31350
1275	14682	31343
1276	14695	31336
1277	14706	31323
1278	14717	31311
1279	14730	31302
1280	14742	31292
1281	14754	31282
1282	14766	31271
1283	14777	31259
1284	14790	31250
1285	14799	31233
1286	14810	31220
1287	14822	31209
1288	14833	31197
1289	14844	31184
1290	14857	31175
1291	14871	31169
1292	14884	31162
1293	14896	31151
1294	14907	31139
1295	14918	31126
1296	14931	31117
1297	14944	31110
1298	14953	31093
1299	14964	31080
1300	14976	31069
1301	14987	31057
1302	14999	31047
1303	15014	31042
1304	15024	31027
1305	15035	31014
1306	15043	30995
1307	15054	30983
1308	15064	30969
1309	15076	30958
1310	15089	30949
1311	15098	30933
1312	15110	30923
1313	15123	30913
1314	15133	30900
1315	15143	30886
1316	15154	30872
1317	15166	30862
1318	15178	30851
1319	15189	30839
1320	15202	30831
1321	15213	30818
1322	15226	30809
1323	15236	30796
1324	15248	30784
1325	15259	30773
1326	15272	30763
1327	15282	30748
1328	15294	30738
1329	15307	30729
1330	15319	30720
1331	15332	30711
1332	15343	30699
1333	15354	30686
1334	15365	30672
1335	15375	30658
1336	15385	30644
1337	15398	30635
1338	15410	30625
1339	15418	30607
1340	15430	30596
1341	15442	30585
1342	15454	30574
1343	15467	30567
1344	15483	30564
1345	15497	30557
1346	15511	30550
1347	15525	30544
1348	15540	30540
1349	15553	30531
1350	15566	30522
1351	15581	30517
1352	15595	30510
1353	15608	30501
1354	15621	30493
1355	15629	30474
1356	15641	30464
1357	15652	30452
1358	15667	30446
1359	15680	30438
1360	15692	30428
1361	15703	30414
1362	15714	30402
1363	15726	30393
1364	15739	30382
1365	15748	30367
1366	15762	30360
1367	15776	30353
1368	15791	30348
1369	15804	30339
1370	15820	30336
1371	15833	30327
1372	15843	30314
1373	15858	30308
1374	15872	30302
1375	15884	30291
1376	15899	30287
1377	15913	30279
1378	15929	30276
1379	15940	30264
1380	15955	30258
1381	15971	30256
1382	15986	30250
1383	15997	30237
1384	16011	30230
1385	16024	30223
1386	16039	30217
1387	16053	30210
1388	16067	30202
1389	16082	30198
1390	16098	30193
1391	16110	30183
1392	16123	30174
1393	16147	30187
1394	16165	30187
1395	16184	30189
1396	16199	30183
1397	16218	30186
